03;;Gymnasium (aHR);1
06;;Gesamtschule (aHR);1
17;;Erwerb an einer deutschen Schule im Ausland (aHR);1
18;;Fachgymnasium (aHR);1
21;;Berufsoberschule, Fachakademie (aHR);1
27;;Abendgymnasium/Kolleg (aHR);1
28;;Fachoberschule (aHR);1
31;;Studienkolleg (aHR);1
33;;Begabten-/Eignungsprüfung/Externenprüfung (aHR);1
34;;Beruflich Qualifizierte (aHR);1
37;;Sonstige Studienberechtigung (aHR);1
39;;Allgemeine Hochschulreife (Erwerb im Ausland);1
43;;Fachgymnasium (fgHR);2
44;;Berufsoberschule/Fachakademie/Fach- und Ingenieurschule (fgHR);2
47;;Erwerb an einer deutschen Schule im Ausland (fgHR);2
48;;Fachoberschule (fgHR);2
51;;Studienkolleg (fgHR);2
52;;Begabten-/Eignungsprüfung (fgHR);2
53;;Beruflich Qualifizierte (fgHR);2
55;;Sonstige Studienberechtigung (fgHR);2
59;;Fachgebundene Hochschulreife (Erwerb im Ausland);2
60;;Gymnasium (FHR);3
62;;Gesamtschule (FHR);3
64;;Fachgymnasium (FHR);3
65;;Berufsoberschule, Fachakademie (FHR);3
66;;Fachoberschule (FHR);3
67;;Erwerb an einer deutschen Schule im Ausland (FHR);3
70;;Abendgymnasium/Kolleg (FHR);3
71;;Beruflich Qualifizierte (FHR);3
72;;Berufsfachschule (FHR);3
73;;Fachschule (FHR);3
76;;Studienkolleg (FHR);3
77;;Begabten-/Eignungsprüfung/Externenprüfung (FHR);3
78;;Sonstige Studienberechtigung (FHR);3
79;;Fachhochschulreife (Erwerb im Ausland);3
