05;;Universitärer Abschluss (ohne Lehramtsprüfungen)
10;;Promotionen
15;;Lehramt (Bachelor, Master, 1. Staatsexamen) an Grundschulen / Primarstufe
20;;Lehramt (Bachelor, Master, 1. Staatsexamen) Stufenübergr. Prüfung Sekundarst. I/Grundsch./ Primarst.
25;;Lehramt (Bachelor, Master, 1. Staatsexamen) an Sekundarstufe I
30;;Lehramt (Bachelor, Master, 1. Staatsexamen) Stufenübergr. Prüfung Sekundarst. II/Sekundarst. I
35;;Lehramt (Bachelor, Master, 1. Staatsexamen) an Gymnasien/Sekundarst. II, allgemeinbildende Schulen
40;;Lehramt (Bachelor, Master, 1. Staatsexamen) für Sonderpädagogik
45;;Lehramt (Bachelor, Master, 1. Staatsexamen) an Beruflichen Schulen / Sekundarst. II, berufl. Schulen
47;;LA Bachelor
48;;LA Master
50;;Sonstige LÄ nach Schularten / Schulstufen
55;;Künstlerischer Abschluss
60;;Fachhochschulabschluss
65;;Sonstiger Abschluss
