Abschluss2steller;Sortierschlüssel;Name;Gültig ab;Gültig bis;Pruefungsgruppe;
01;0512;Mehr-Fächer-Bachelor mit Lehramtsoption ;20102;99999;05;
02;0505;Magister;20072;99999;05;
03;0520;Lizentiat;20072;99999;05;
04;0525;Kirchliche Prüfung;20072;99999;05;
05;0565;Akad. geprüfter Übersetzer;20072;99999;05;
06;1005;Promotion (Abschlussprüfung vorausgesetzt);20072;99999;10;
07;1020;Promotion ohne vorausgesetzte Abschlussprüfung;20072;99999;10;
08;0530;Staatsexamen / 1. Staatsprüfung;20072;99999;05;
09;0535;Staatsexamen (einphasige Ausbildung);20072;99999;05;
10;0540;Fakultätsprüfung;20072;99999;05;
11;0545;Diplom (U);20072;99999;05;
12;0555;Diplom (U) - Dolmetscher;20072;99999;05;
13;0560;Diplom (U) - Übersetzer;20072;99999;05;
14;0550;Diplom I (U-GH);20072;99999;05;
15;1525;LA Bachelor Grundschulen;20072;99999;15;
16;2502;LA Bachelor Hauptschulen;20222;99999;25;
17;0599;Abschlussprüfung ohne akad. Grad;20072;99999;05;
18;0580;Diplom (U) - Lehrer;20072;99999;05;
19;1555;LA Bachelor Grundstufe / Primarstufe;20072;99999;15;
20;2000;LA Grund- und Hauptschulen;20222;99999;20;
21;1520;LA Grundschulen;20072;99999;15;
22;2500;LA Hauptschulen;20222;99999;25;
23;2505;LA Realschulen;20072;99999;25;
24;2520;LA Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien;20072;99999;25;
25;3505;LA Gymnasien;20072;99999;35;
26;4005;LA Sonderschulen / Förderschulen;20072;99999;40;
27;4505;LA Berufliche Schulen;20072;99999;45;
28;2005;LA Sekundarstufe I / Primarstufe;20072;99999;20;
29;5005;Sonstige Staatsprüfungen nach Schularten / Schulstufen;20072;99999;50;
30;4805;LA Master (soweit keine Differenzierung möglich);20072;99999;48;
31;4705;LA Bachelor (soweit keine Differenzierung möglich);20072;99999;47;
32;2010;LA Bachelor Sekundarstufe I / Primarstufe;20072;99999;20;
33;2025;LA Bachelor Grundschulen / Sekundarstufe I;20072;99999;20;
34;2510;LA Bachelor Realschulen;20072;99999;25;
35;2525;LA Bachelor Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien;20072;99999;25;
36;2540;LA Bachelor Mittelstufe / Sekundarstufe I;20072;99999;25;
37;3010;LA Bachelor Sekundarstufe II / Sekundarstufe I;20072;99999;30;
38;3510;LA Bachelor Gymnasien;20072;99999;35;
