Abschluss3steller;Sortierschlüssel;Name;Gültig ab;Gültig bis;Abschluss2steller;
101;051210;Mehr-Fächer-Bachelor mit Lehramtsoption - Erststudium;20102;99999;01;
102;050510;Magister - Erststudium;20072;99999;02;
103;052010;Lizentiat - Erststudium;20072;99999;03;
104;052510;Kirchliche Prüfung - Erststudium;20072;99999;04;
105;056510;Akad. geprüfter Übersetzer - Erststudium;20072;99999;05;
107;102010;Promotion ohne vorausgesetzte Abschlussprüfung - Erststudium;20072;99999;07;
108;053010;Staatsexamen / 1. Staatsprüfung - Erststudium;20072;99999;08;
109;053510;Staatsexamen (einphasige Ausbildung) - Erststudium;20072;99999;09;
110;054010;Fakultätsprüfung - Erststudium;20072;99999;10;
111;054510;Diplom (U) - Erststudium;20072;99999;11;
112;055510;Diplom (U) - Dolmetscher - Erststudium;20072;99999;12;
113;056010;Diplom (U) - Übersetzer - Erststudium;20072;99999;13;
114;055010;Diplom I (U-GH) - Erststudium;20072;99999;14;
115;152510;LA Bachelor Grundschulen - Erststudium;20072;99999;15;
116;250210;LA Bachelor Hauptschulen - Erststudium;20222;99999;16;
117;059910;Abschlussprüfung ohne akad. Grad - Erststudium;20072;99999;17;
118;058010;Diplom (U) - Lehrer - Erststudium;20072;99999;18;
119;155510;LA Bachelor Grundstufe / Primarstufe - Erststudium;20072;99999;19;
120;200010;LA Grund- und Hauptschulen - Erststudium;20222;99999;20;
121;152010;LA Grundschulen - Erststudium;20072;99999;21;
122;250010;LA Hauptschulen - Erststudium;20222;99999;22;
123;250510;LA Realschulen - Erststudium;20072;99999;23;
124;252010;LA Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Erststudium;20072;99999;24;
125;350510;LA Gymnasien - Erststudium;20072;99999;25;
126;400510;LA Sonderschulen / Förderschulen - Erststudium;20072;99999;26;
127;450510;LA Berufliche Schulen - Erststudium;20072;99999;27;
128;200510;LA Sekundarstufe I / Primarstufe - Erststudium;20072;99999;28;
129;500510;Sonstige Staatsprüfungen nach Schularten / Schulstufen - Erststudium;20072;99999;29;
131;470510;LA Bachelor (soweit keine Differenzierung möglich) - Erststudium;20072;99999;31;
132;201010;LA Bachelor Sekundarstufe I / Primarstufe - Erststudium;20072;99999;32;
133;202510;LA Bachelor Grundschulen / Sekundarstufe I - Erststudium;20072;99999;33;
134;251010;LA Bachelor Realschulen - Erststudium;20072;99999;34;
135;252510;LA Bachelor Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Erststudium;20072;99999;35;
136;254010;LA Bachelor Mittelstufe / Sekundarstufe I - Erststudium;20072;99999;36;
137;301010;LA Bachelor Sekundarstufe II / Sekundarstufe I - Erststudium;20072;99999;37;
138;351010;LA Bachelor Gymnasien - Erststudium;20072;99999;38;
139;352510;LA Bachelor Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Erststudium;20072;99999;39;
140;202010;LA Grundschulen / Sekundarstufe I - Erststudium;20072;99999;40;
141;300510;LA Sekundarstufe II / Sekundarstufe I - Erststudium;20072;99999;41;
142;155010;LA Grundstufe / Primarstufe - Erststudium;20072;99999;42;
143;253510;LA Mittelstufe / Sekundarstufe I - Erststudium;20072;99999;43;
144;352010;LA Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Erststudium;20072;99999;44;
145;452010;LA Oberstufe / Sekundarstufe II, berufliche Schulen - Erststudium;20072;99999;45;
146;401010;LA Bachelor Sonderschulen / Förderschulen - Erststudium;20072;99999;46;
147;451010;LA Bachelor Berufliche Schulen - Erststudium;20072;99999;47;
148;452510;LA Bachelor Oberstufe / Sekundarstufe II, berufliche Schulen - Erststudium;20072;99999;48;
151;600510;Diplom (FH) - Erststudium;20072;99999;51;
153;601010;Diplom (FH) - Dolmetscher - Erststudium;20072;99999;53;
154;601510;Diplom (FH) - Übersetzer - Erststudium;20072;99999;54;
156;602010;Staatl. Laufbahnprüfung (VerwFH) - Erststudium;20072;99999;56;
159;604010;Sonstiger FH - Abschluss - Erststudium;20072;99999;59;
168;051010;Mehr-Fächer-Bachelor ohne Lehramtsoption - Erststudium;20102;99999;68;
170;554010;Staatl. Prüfung für künstlerische Abschlüsse - Erststudium;20072;99999;70;
171;551510;Bühnen- / Konzert- / Opernreifeprüfung - Erststudium;20072;99999;71;
172;552010;Privatmusiklehrerprüfung - Erststudium;20072;99999;72;
173;552510;Kirchenmusikprüfung A - Erststudium;20072;99999;73;
174;553010;Kirchenmusikprüfung B - Erststudium;20072;99999;74;
175;550510;Diplom (KH) - Erststudium;20072;99999;75;
177;555010;Kunstpädagogische Prüfung - Erststudium;20072;99999;77;
179;553510;Solistenprüfung  - Erststudium;20072;99999;79;
180;555510;Sonstiger künstlerischer Abschluss - Erststudium;20072;99999;80;
181;551010;Akademiebrief (KH) - Erststudium;20072;99999;81;
182;058510;Bachelor an Universitäten - Erststudium;20072;99999;82;
183;556010;Bachelor an Kunsthochschulen - Erststudium;20072;99999;83;
184;602510;Bachelor an Fachhochschulen - Erststudium;20072;99999;84;
186;651710;Bachelor o. Ä. noch nicht abgeschlossen - Erststudium;20122;99999;86;
187;651310;Abschlüsse von Berufsakademien, die ersten berufsb. Abschlüssen gleichgestellt sind - Erststudium;20112;99999;87;
193;057010;Bachelor (U) - Lehrer - Erststudium;20072;99999;93;
194;650510;Abschlusszeugnis / Zertifikat - Erststudium;20072;99999;94;
195;651010;Sonstiger Abschluss in Deutschland - Erststudium;20072;99999;95;
196;651510;Abschlussprüfung im Ausland - Erststudium;20072;99999;96;
198;200210;LA Bachelor Grund- und Hauptschulen - Erststudium;20222;99999;98;
201;051220;Mehr-Fächer-Bachelor mit Lehramtsoption  - Zweitstudium;20102;99999;01;
202;050520;Magister - Zweitstudium;20072;99999;02;
203;052020;Lizentiat - Zweitstudium;20072;99999;03;
204;052520;Kirchliche Prüfung - Zweitstudium;20072;99999;04;
205;056520;Akad. geprüfter Übersetzer - Zweitstudium;20072;99999;05;
208;053020;Staatsexamen / 1. Staatsprüfung - Zweitstudium;20072;99999;08;
209;053520;Staatsexamen (einphasige Ausbildung) - Zweitstudium;20072;99999;09;
210;054020;Fakultätsprüfung - Zweitstudium;20072;99999;10;
211;054520;Diplom (U) - Zweitstudium;20072;99999;11;
212;055520;Diplom (U) - Dolmetscher - Zweitstudium;20072;99999;12;
213;056020;Diplom (U) - Übersetzer - Zweitstudium;20072;99999;13;
214;055020;Diplom I (U-GH) - Zweitstudium;20072;99999;14;
215;152520;LA Bachelor Grundschulen - Zweitstudium;20072;99999;15;
216;250220;LA Bachelor Hauptschulen - Zweitstudium;20222;99999;16;
218;058020;Diplom (U) - Lehrer - Zweitstudium;20072;99999;18;
219;155520;LA Bachelor Grundstufe / Primarstufe - Zweitstudium;20072;99999;19;
220;200020;LA Grund- und Hauptschulen - Zweitstudium;20222;99999;20;
221;152020;LA Grundschulen - Zweitstudium;20072;99999;21;
222;250020;LA Hauptschulen - Zweitstudium;20222;99999;22;
223;250520;LA Realschulen - Zweitstudium;20072;99999;23;
224;252020;LA Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Zweitstudium;20072;99999;24;
225;350520;LA Gymnasien - Zweitstudium;20072;99999;25;
226;400520;LA Sonderschulen / Förderschulen - Zweitstudium;20072;99999;26;
227;450520;LA Berufliche Schulen - Zweitstudium;20072;99999;27;
228;200520;LA Sekundarstufe I / Primarstufe - Zweitstudium;20072;99999;28;
229;500520;Sonstige Staatsprüfungen nach Schularten / Schulstufen - Zweitstudium;20072;99999;29;
230;480520;LA Master (soweit keine Differenzierung möglich) - Zweitstudium;20072;99999;30;
231;470520;LA Bachelor (soweit keine Differenzierung möglich) - Zweitstudium;20072;99999;31;
232;201020;LA Bachelor Sekundarstufe I / Primarstufe - Zweitstudium;20072;99999;32;
