ExmaGrund;Sortierschlüssel;Name;Gültig ab;Gültig bis;
0;;Exmatrikulation aufgrund landesrechtlicher Bestimmungen;20062;99999;
1;;Beendigung des Studiums nach bestandener Prüfung;20062;99999;
2;;Unterbrechung des Studiums;20092;99999;
3;;Beendigung des Studiums ohne Prüfung, da keine mehr möglich;20062;99999;
4;;Hochschulwechsel;20062;99999;
5;;Antritt Freiwilligendienst;20182;99999;
6;;Endgültiger Abbruch des Studiums;20092;99999;
7;;Streichung durch die Hochschule wegen fehlender Rückmeldung bzw. fehlender Krankenversicherung;20062;99999;
8;;Beendigung des Studiums nach endgültig nicht bestandener Prüfung/Vorprüfung;20062;99999;
9;;Sonstige Gründe;20062;99999;
