HochschuleErsteinschreibung;Sortierschlüssel;Name;Gültig ab;Gültig bis;
0011;;U Kassel in Kassel (ohne Kunsthochschule);20171;99999;
0012;;U Kassel in Witzenhausen;20171;99999;
0013;;U Kassel in Kassel (Kunsthochschule);20171;99999;
0014;;U Kassel in Kassel (Intern. Management School);20171;99999;
0020;;APOLLON H der Gesundheitswirtschaft Bremen (Priv. FH);20171;99999;
0030;;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus München (Priv. FH);20182;99999;
0032;;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Berlin (Priv. FH);20182;99999;
0033;;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Hamburg (Priv. FH);20182;99999;
0034;;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Köln (Priv. FH);20182;99999;
0035;;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Stuttgart (Priv. FH);20182;99999;
0036;;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Freiburg i. Br. (Priv. FH);20182;99999;
0037;;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Leipzig (Priv. FH) ;20192;99999;
0038;;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Frankfurt a. M. (Priv. FH);20212;99999;
0040;;FH der Diakonie Bielefeld-Bethel (Kirchl. FH);20171;99999;
0050;;German Graduate School of Management & Law Heilbronn (Priv. FH);20171;99999;
0060;;Hochschule für angewandte Wissenschaften der Bundesagentur für Arbeit in Mannheim (FH);20222;99999;
0061;;Hochschule für angewandte Wissenschaften der Bundesagentur für Arbeit in Schwerin (FH);20222;99999;
0080;;U Duisburg-Essen in Essen;20172;99999;
0082;;U Duisburg-Essen in Duisburg;20172;99999;
0101;;Berliner Technische Kunsthochschule in Berlin (Priv. FH);20171;99999;
0102;;Berliner Technische Kunsthochschule in Iserlohn (Priv. FH);20171;99999;
0103;;Berliner Technische Kunsthochschule in Hamburg (Priv. FH);20171;99999;
0121;;U Paderborn;20171;99999;
0130;;U Siegen;20171;99999;
0140;;U Wuppertal;20171;99999;
0150;;Fernuniversität Hagen;20171;99999;
0160;;EBC Euro Business College Hamburg Campus Berlin (Priv. FH) ;20171;99999;
0170;;Touro College Berlin (Priv. FH);20171;99999;
0180;;Charité - Universitätsmedizin Berlin;20171;99999;
0190;;Europa-U Viadrina Frankfurt (Oder);20171;99999;
0200;;Humboldt-Universität Berlin;20171;99999;
0260;;U Rostock;20171;99999;
0270;;U Greifswald;20171;99999;
0301;;U Halle in Halle;20171;99999;
0302;;U Halle in Merseburg;20171;99999;
0310;;U Magdeburg;20171;99999;
0360;;U Leipzig;20171;99999;
0370;;TU Dresden in Dresden;20171;99999;
0372;;TU Dresden in Tharandt;20171;99999;
0373;;TU Dresden in Zittau (IHI);20171;99999;
0380;;TU Chemnitz;20171;99999;
0390;;TU Bergakademie Freiberg;20171;99999;
0490;;U Jena;20171;99999;
0500;;U Bamberg;20171;99999;
0510;;U Bayreuth in Bayreuth;20231;99999;
0511;;U Bayreuth in Kulmbach;20231;99999;
0520;;U Oldenburg;20171;99999;
0530;;U Osnabrück;20171;99999;
0540;;U Passau;20171;99999;
0551;;Kath. U Eichstätt-Ingolstadt in Eichstätt (Kirchl. U);20171;99999;
0552;;Kath. U Eichstätt-Ingolstadt in Ingolstadt (Kirchl. U);20171;99999;
0560;;Augustana-H Neuendettelsau (Kirchl.-Theol. H);20171;99999;
0580;;Bauhaus-U Weimar;20171;99999;
0590;;TU Ilmenau;20171;99999;
0620;;U Erfurt;20171;99999;
0630;;HHL Leipzig Graduate School of Management (Priv. U);20171;99999;
0660;;Constructor University Bremen gGmbH (Priv. U);20222;99999;
0670;;Europ. School of Management and Technology, Berlin (Priv. U);20171;99999;
0680;;Hertie School of Governance Berlin (Priv. U);20171;99999;
0690;;HafenCity Universität Hamburg;20171;99999;
0700;;bbw Hochschule Berlin (Priv. FH);20171;99999;
0710;;H für Kirchenmusik Herford-Witten (Kirchl.-Theol. H);20211;99999;
0720;;Internationale Hochschule SDI München-Hochschule für angewandte Wissenschaften (Priv. FH)  ;20192;99999;
0730;;SRH University of Applied Sciences Heidelberg in Gera (Priv. FH);20242;99999;
0740;;Norddeutsche Hochschule für Rechtspflege Hildesheim (Verw-FH);20171;99999;
0750;;Kommunale H für Verwaltung in Niedersachsen, Hannover (Priv. Verw-FH);20171;99999;
0760;;IB Hochschule für Gesundheit und Soziales Berlin in Berlin (Priv. FH);20192;99999;
0761;;IB Hochschule für Gesundheit und Soziales Berlin in Stuttgart (Priv. FH)  ;20192;99999;
0762;;IB Hochschule für Gesundheit und Soziales Berlin in München (Priv. FH) ;20192;99999;
0763;;IB Hochschule für Gesundheit und Soziales Berlin in Hamburg (Priv. FH) ;20192;99999;
0764;;IB Hochschule für Gesundheit und Soziales Berlin in Köln (Priv. FH);20192;99999;
