Staat;Sortierschlüssel;Name;Gültig ab;Gültig bis;Kontinent;Mitglied der EU;
000;1001;Deutschland;20042;99999;1;1;
112;1810;Gibraltar (Britisches Überseegebiet);20142;99999;1;0;
113;1820;Guernsey (Britisches Überseegebiet);20142;99999;1;0;
114;1840;Jersey (Britisches Überseegebiet);20142;99999;1;0;
115;1830;Insel Man (Britisches Überseegebiet);20142;99999;1;0;
116;1860;Svalbard und Jan Mayen (u. a. Bäreninsel, Spitzbergen) (Norwegisches Überseegebiet);20142;99999;1;0;
121;1100;Albanien;20042;99999;1;0;
122;1140;Bosnien und Herzegowina;20042;99999;1;0;
123;1120;Andorra;20042;99999;1;0;
124;1005;Belgien;20042;99999;1;1;
125;1007;Bulgarien;20071;99999;1;1;
126;1009;Dänemark;20042;99999;1;1;
127;1013;Estland;20042;99999;1;1;
128;1017;Finnland;20042;99999;1;1;
129;1021;Frankreich;20042;99999;1;1;
130;1035;Kroatien;20132;99999;1;1;
131;1077;Slowenien;20042;99999;1;1;
134;1025;Griechenland;20042;99999;1;1;
135;1029;Irland;20042;99999;1;1;
136;1180;Island;20042;99999;1;0;
137;1033;Italien;20042;99999;1;1;
139;1037;Lettland;20042;99999;1;1;
140;1290;Montenegro;20062;99999;1;0;
141;1220;Liechtenstein;20042;99999;1;0;
142;1041;Litauen;20042;99999;1;1;
143;1045;Luxemburg;20042;99999;1;1;
144;1295;Nordmazedonien;20191;99999;1;0;
145;1049;Malta;20042;99999;1;1;
146;1260;Moldau, Republik;20042;99999;1;0;
147;1280;Monaco;20042;99999;1;0;
148;1053;Niederlande;20042;99999;1;1;
149;1300;Norwegen;20042;99999;1;0;
150;1190;Kosovo;20082;99999;1;0;
151;1057;Österreich;20042;99999;1;1;
152;1061;Polen;20042;99999;1;1;
153;1065;Portugal;20042;99999;1;1;
154;1067;Rumänien;20071;99999;1;1;
155;1073;Slowakei;20042;99999;1;1;
156;1360;San Marino;20042;99999;1;0;
157;1069;Schweden;20042;99999;1;1;
158;1380;Schweiz;20042;99999;1;0;
160;1340;Russische Föderation;20042;99999;1;0;
161;1081;Spanien;20042;99999;1;1;
163;1420;Türkei;20042;99999;1;0;
164;1085;Tschechien;20181;99999;1;1;
165;1089;Ungarn;20042;99999;1;1;
166;1440;Ukraine;20042;99999;1;0;
167;1460;Vatikanstadt;20042;99999;1;0;
168;1470;Vereinigtes Königreich;20201;99999;1;0;
169;1130;Belarus;20221;99999;1;0;
170;1390;Serbien;20092;99999;1;0;
181;1097;Zypern;20042;99999;1;1;
182;1850;Färöer (Dänisches Überseegebiet);20142;99999;1;0;
185;1800;Britisches Überseegebiet außerhalb Europas;20142;99999;1;0;
211;2810;Mayotte (Französisches Überseegebiet);20142;99999;2;0;
214;2820;Réunion (Französisches Überseegebiet);20142;99999;2;0;
216;2830;Spanische Hoheitsplätze in Nordafrika (Spanisches Überseegebiet);20142;99999;2;0;
221;2045;Algerien;20042;99999;2;0;
223;2060;Angola;20042;99999;2;0;
224;2165;Eritrea;20042;99999;2;0;
225;2030;Äthiopien;20042;99999;2;0;
226;2345;Lesotho;20042;99999;2;0;
227;2090;Botsuana;20042;99999;2;0;
229;2075;Benin;20042;99999;2;0;
230;2150;Dschibuti;20042;99999;2;0;
231;2135;Cote d'Ivoire;20042;99999;2;0;
232;2525;Nigeria;20042;99999;2;0;
233;2630;Simbabwe;20042;99999;2;0;
236;2180;Gabun;20042;99999;2;0;
237;2195;Gambia;20042;99999;2;0;
238;2210;Ghana;20042;99999;2;0;
239;2450;Mauretanien;20042;99999;2;0;
242;2130;Cabo Verde;20221;99999;2;0;
243;2285;Kenia;20042;99999;2;0;
244;2300;Komoren;20042;99999;2;0;
245;2330;Kongo, Republik;20042;99999;2;0;
246;2315;Kongo, Dem. Republik;20042;99999;2;0;
247;2360;Liberia;20042;99999;2;0;
248;2375;Libyen;20042;99999;2;0;
249;2390;Madagaskar;20042;99999;2;0;
251;2420;Mali;20042;99999;2;0;
252;2435;Marokko;20042;99999;2;0;
253;2465;Mauritius;20042;99999;2;0;
254;2480;Mosambik;20042;99999;2;0;
255;2510;Niger;20042;99999;2;0;
256;2405;Malawi;20042;99999;2;0;
257;2555;Sambia;20042;99999;2;0;
258;2105;Burkina Faso;20042;99999;2;0;
259;2240;Guinea-Bissau;20042;99999;2;0;
261;2225;Guinea;20042;99999;2;0;
262;2255;Kamerun;20042;99999;2;0;
263;2675;Südafrika;20042;99999;2;0;
265;2540;Ruanda;20042;99999;2;0;
267;2495;Namibia;20042;99999;2;0;
268;2570;Sao Tome und Principe;20042;99999;2;0;
269;2585;Senegal;20042;99999;2;0;
271;2600;Seychellen;20042;99999;2;0;
272;2615;Sierra Leone;20042;99999;2;0;
273;2645;Somalia;20042;99999;2;0;
274;2015;Äquatorialguinea;20042;99999;2;0;
277;2665;Sudan;20111;99999;2;0;
278;2670;Südsudan;20111;99999;2;0;
281;2170;Eswatini;20221;99999;2;0;
282;2705;Tansania, Ver. Republik;20042;99999;2;0;
283;2720;Togo;20042;99999;2;0;
284;2735;Tschad;20042;99999;2;0;
285;2750;Tunesien;20042;99999;2;0;
286;2765;Uganda;20042;99999;2;0;
287;2000;Ägypten;20042;99999;2;0;
289;2780;Zentralafrik. Republik;20042;99999;2;0;
291;2120;Burundi;20042;99999;2;0;
311;3910;Aruba (Niederländisches Überseegebiet);20142;99999;3;0;
315;3940;Französisch-Guayana (Französisches Überseegebiet);20142;99999;3;0;
316;3900;Amerikanische Jungferninseln (US-Überseegebiet);20142;99999;3;0;
317;3945;Guadeloupe (Französisches Überseegebiet);20142;99999;3;0;
319;3950;Martinique (Französisches Überseegebiet);20142;99999;3;0;
320;3000;Antigua und Barbuda;20042;99999;3;0;
321;3920;Curaçao (Niederländisches Überseegebiet);20142;99999;3;0;
322;3075;Barbados;20042;99999;3;0;
